Posted Date,Reference Number,Payee,Address,Amount,remove
07/30/2025,2.41641E+22,TARGET 00021519 TUSTIN CA,TUSTIN        CA ,-3.87,
07/30/2025,2.41641E+22,TARGET 00021519 TUSTIN CA,TUSTIN        CA ,-33.59,
07/30/2025,2.46922E+22,AMAZON MKTPL*Y60RV15D3 Amzn.com/billWA,Amzn.com/bill WA ,-13.98,
07/29/2025,2.46922E+22,Amazon.com*S06YT7L03 Amzn.com/billWA,Amzn.com/bill WA ,-6.84,
07/29/2025,2.44922E+22,OPENAI *CHATGPT SUBSCR OPENAI.COM CA,OPENAI.COM    CA ,-20,
07/29/2025,2.46922E+22,Amazon.com*F769U8GF3 Amzn.com/billWA,Amzn.com/bill WA ,-16.93,
07/26/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-47.28,
07/26/2025,2.40363E+22,DD *DOORDASH CHUANCUIS 855-973-1040 CA,855-973-1040  CA ,-31.56,
07/26/2025,2.40113E+22,DD *DOORDASH SUNRIGHTT DOORDASH.COM CA,DOORDASH.COM  CA ,-28.2,
07/25/2025,2.42317E+22,85C BAKERY CAFE USA IRVINE CA,IRVINE        CA ,-14.92,
07/25/2025,2.47934E+22,Adobe Inc 800-8336687 CA,800-8336687   CA ,-59.99,
07/24/2025,2.40363E+22,DD *DOORDASH KFC 855-973-1040 CA,855-973-1040  CA ,-33.74,
07/23/2025,2.40113E+22,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA,ANTHROPIC.COM CA ,-20,
07/22/2025,2.4765E+22,HAIDILAO HOT POT IRVINE IRVINE CA,IRVINE        CA ,-145.75,
07/21/2025,2.44273E+22,99 RANCH #1009 IRVINE CA,IRVINE        CA ,-15.76,
07/21/2025,2.46922E+22,AMAZON MKTPL*YZ5E24VN3 Amzn.com/billWA,Amzn.com/bill WA ,-9.69,
07/21/2025,2.42317E+22,85C BAKERY CAFE USA IRVINE CA,IRVINE        CA ,-20.43,
07/19/2025,2.44311E+22,H MART IRVINE INC IRVINE CA,IRVINE        CA ,-29.06,
07/19/2025,2.40113E+22,DD *DOORDASHDASHPASS DOORDASH.COM CA,DOORDASH.COM  CA ,-9.99,
07/18/2025,2.46922E+22,AMAZON MKTPL*ZS3AJ2Q93 Amzn.com/billWA,Amzn.com/bill WA ,-11.83,
07/18/2025,2.46922E+22,AMAZON MKTPL*KY6TV8893 Amzn.com/billWA,Amzn.com/bill WA ,-21.54,
