Posted Date,Reference Number,Payee,Address,Amount
03/04/2025,24692165062101982340155,"Amazon.com*NY08S8213 Amzn.com/billWA","Amzn.com/bill WA ",-41.88
03/03/2025,24692165062101748998791,"AMAZON MKTPL*QU5WF8F43 Amzn.com/billWA","Amzn.com/bill WA ",-9.90
03/03/2025,24692165061100958642009,"SQ *PATISSERIE BLUEJAY ARCADIA CA","ARCADIA       CA ",-34.50
03/03/2025,24692165061100944259637,"SQ *SUSHI IN THE BOX Arcadia CA","Arcadia       CA ",-50.68
03/03/2025,24692165060100481926201,"AMAZON MKTPL*1O71D8F73 Amzn.com/billWA","Amzn.com/bill WA ",-17.63
03/03/2025,24692165060100473599214,"AMAZON MKTPL*0L6OY0AS3 Amzn.com/billWA","Amzn.com/bill WA ",-8.81
03/03/2025,24036295060712330153009,"DD *DOORDASH BAYPOKETE 855-973-1040 CA","855-973-1040  CA ",-28.64
03/03/2025,24204295060000565799050,"Google GSUITE_chenweixu.c650-2530000 CA","650-2530000   CA ",-6.00
03/01/2025,24692165059109259921511,"AMAZON MKTPL*JW7JL1X33 Amzn.com/billWA","Amzn.com/bill WA ",-23.80
03/01/2025,24692165059109123478664,"AMAZON MKTPL*6Q6OU7X93 Amzn.com/billWA","Amzn.com/bill WA ",-7.59
02/28/2025,24036295058718974067490,"DD *DOORDASH NOODOLOGY 855-973-1040 CA","855-973-1040  CA ",-33.06
02/27/2025,24036295058718893820516,"WEEE INC. 5105734967 CA","5105734967    CA ",-42.72
02/27/2025,24692165057107685932781,"Amazon.com*MJ04D3VD3 Amzn.com/billWA","Amzn.com/bill WA ",-77.16
02/27/2025,24011345058500007766393,"FC* FLATICON PREMIUM M WWW.FREEPIK.CDE","WWW.FREEPIK.C DE ",-12.99
02/25/2025,24692165056106203720489,"AMAZON MKTPL*BW3YI2223 Amzn.com/billWA","Amzn.com/bill WA ",-27.35
02/25/2025,24692165055106023459343,"AMAZON MKTPL*IK7D17JH3 Amzn.com/billWA","Amzn.com/bill WA ",-40.22
02/25/2025,24036295055718465052921,"ADOBE *ADOBE 408-536-6000 CA","408-536-6000  CA ",-59.99
02/24/2025,24431065055155596127710,"TARGET.COM * 800-591-3869 MN","800-591-3869  MN ",-95.94
02/24/2025,24137465054100549749848,"TST* SUNRIGHT TEA STUDIO ARCADIA CA","ARCADIA       CA ",-8.20
02/24/2025,24011345054500037301645,"CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","ANTHROPIC.COM CA ",-20.00
02/24/2025,24427335053740280902638,"99 RANCH #1007 ARCADIA CA","ARCADIA       CA ",-198.90
02/22/2025,24431065052154074738695,"TARGET.COM * 800-591-3869 MN","800-591-3869  MN ",-48.70
02/21/2025,24692165051102152582850,"AMAZON MKTPL*A85I51DA3 Amzn.com/billWA","Amzn.com/bill WA ",-26.43
02/20/2025,24137465050100255841932,"TST* SUNRIGHT TEA STUDIO ARCADIA CA","ARCADIA       CA ",-12.70
02/19/2025,24427335049740274101442,"99 RANCH #1007 ARCADIA CA","ARCADIA       CA ",-6.60
02/19/2025,24692165049100495863594,"AMAZON MKTPL*648XP91B3 Amzn.com/billWA","Amzn.com/bill WA ",-67.26
02/18/2025,24427335048740274676477,"99 RANCH #1007 ARCADIA CA","ARCADIA       CA ",-2.39
02/18/2025,24435655048060688064280,"COS WEB 201-246-4444 NJ","201-246-4444  NJ ",-71.00
