Posted Date,Reference Number,Payee,Address,Amount,remove
01/06/2025,2.40E+22,99 RANCH MARKET 99RANCH.COM CA,99RANCH.COM   CA,-33.65,
01/04/2025,4.06E+20,Online payment from CHK 8540,,835.07,
01/04/2025,2.44E+22,TARGET.COM * 800-591-3869 MN,800-591-3869  MN,-12.99,
01/04/2025,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-100.82,
01/04/2025,2.44E+22,TARGET.COM 800-591-3869 MN,800-591-3869  MN,-5.5,
01/04/2025,2.47E+22,AMAZON MKTPL*ZD1B98A82 Amzn.com/billWA,Amzn.com/bill WA ,-10.14,
01/04/2025,2.47E+22,AMAZON MKTPL*ZP3VV75A0 Amzn.com/billWA,Amzn.com/bill WA ,-8.47,
01/04/2025,2.40E+22,LYFT *RIDE THU 11AM LYFT.COM CA,LYFT.COM      CA ,-20.92,
01/04/2025,2.44E+22,TARGET.COM * WWW.TARGET.COMN,WWW.TARGET.CO MN ,-29.97,
01/02/2025,2.47E+22,GOOGLE *GSUITE_chenwei cc@google.comCA,cc@google.com CA ,-6,
12/31/2024,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-5.99,
12/31/2024,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-73.87,
12/31/2024,2.44E+22,99 RANCH #1257 ARCADIA CA,ARCADIA       CA ,-228.51,
12/31/2024,2.40E+22,DD *DOORDASH MEETFRESH 855-973-1040 CA,855-973-1040  CA,-37.87,
12/30/2024,2.40E+22,DD *DOORDASH JOLLIBEE 855-973-1040 CA,855-973-1040  CA,-48.41,
12/28/2024,7.40E+22,WEEE INC. 510-573-4967 CA,510-573-4967  CA,13.99,
12/27/2024,2.40E+22,DD *DOORDASH VONS 855-973-1040 CA,855-973-1040  CA,-64.41,
12/27/2024,2.40E+22,FC* FLATICON PREMIUM M WWW.FREEPIK.CDE,WWW.FREEPIK.C DE ,-12.99,
12/26/2024,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-96.81,
12/26/2024,2.48E+22,GOOD FORTUNE SUPERMARKET MONROVIA CA,MONROVIA      CA ,-1.64,
12/26/2024,2.48E+22,GOOD FORTUNE SUPERMARKET MONROVIA CA,MONROVIA      CA ,-83.68,x
12/26/2024,2.40E+22,ADOBE *ADOBE 408-536-6000 CA,408-536-6000  CA,-29.99,
12/26/2024,2.43E+22,YI MEI MONROVIA CA,MONROVIA      CA ,-41.29,x
12/26/2024,2.40E+22,FC* FREEPIK PREMIUM YE WWW.FREEPIK.CDE,WWW.FREEPIK.C DE ,-144,
12/26/2024,3.61E+22,Online payment from CHK 8540,,751.93,x
12/24/2024,2.48E+22,WANG LA YA INC MONTEREY PARKCA,MONTEREY PARK CA ,-30.34,x
12/24/2024,2.40E+22,AMILUS 212-470-0302 NY,212-470-0302  NY,-70,x
12/23/2024,2.40E+22,CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA,ANTHROPIC.COM CA ,-20,x
12/23/2024,2.40E+22,LYFT *RIDE FRI 3PM LYFT.COM CA,LYFT.COM      CA ,-8.99,x
12/21/2024,2.40E+22,DD *DOORDASH KFC 855-973-1040 CA,855-973-1040  CA,-23.32,x
12/21/2024,2.40E+22,LYFT *RIDE FRI 2PM LYFT.COM CA,LYFT.COM      CA ,-9.99,x
12/21/2024,2.40E+22,LYFT *RIDE THU 10AM LYFT.COM CA,LYFT.COM      CA ,-9.86,x
12/20/2024,2.44E+22,99 RANCH #1257 ARCADIA CA,ARCADIA       CA ,-38.17,x
12/20/2024,2.40E+22,LYFT *RIDE THU 9AM LYFT.COM CA,LYFT.COM      CA ,-8.7,x
12/20/2024,2.40E+22,DD *DOORDASH XISHANGRO 855-973-1040 CA,855-973-1040  CA,-30,x
12/19/2024,2.40E+22,WEEE INC. 5105734967 CA,5105734967    CA,-43.31,x
12/19/2024,2.40E+22,LYFT *RIDE TUE 6PM LYFT.COM CA,LYFT.COM      CA ,-71.06,x
12/19/2024,2.48E+22,RUEN PAIR THAI RESTAURAN LOS ANGELES CA,LOS ANGELES   CA ,-90.41,x
12/18/2024,3.53E+22,Online payment from CHK 8540,,751.93,x
12/18/2024,2.47E+22,DALLAS BAPTIST UNIVERSIT LIZK@DBU.EDU TX,LIZK@DBU.EDU  TX ,-50,x
12/18/2024,2.47E+22,SQ *MARU COFFEE Los Angeles CA,Los Angeles   CA ,-21.28,x
12/18/2024,2.40E+22,99 RANCH MARKET 99RANCH.COM CA,99RANCH.COM   CA,-46.8,x
12/18/2024,2.40E+22,LYFT *RIDE TUE 5PM LYFT.COM CA,LYFT.COM      CA ,-25.97,x
12/18/2024,2.40E+22,DD *DOORDASH PRESSED 855-973-1040 CA,855-973-1040  CA,-50.58,x
12/18/2024,2.45E+22,AIGA NY WWW.AIGANY.ORNY,WWW.AIGANY.OR NY ,-5,x
12/18/2024,2.40E+22,LYFT *RIDE TUE 4PM LYFT.COM CA,LYFT.COM      CA ,-15.96,x
12/18/2024,2.40E+22,LYFT *RIDE TUE 2PM LYFT.COM CA,LYFT.COM      CA ,-50.29,x
12/18/2024,2.44E+22,AMYS HALLMARK 360 ARCADIA CA,ARCADIA       CA ,-5.5,x
