Posted Date,Reference Number,Payee,Address,Amount
07/03/2025,24692165183102131044544,"Amazon.com*N37IO1KZ2 Amzn.com/billWA","Amzn.com/bill WA ",-65.44
07/03/2025,24692165183102006298068,"AMAZON MKTPL*N38QX93Z1 Amzn.com/billWA","Amzn.com/bill WA ",-17.57
07/03/2025,24692165183101949898059,"Amazon.com*N371A0310 Amzn.com/billWA","Amzn.com/bill WA ",-85.03
07/03/2025,24692165183101914912703,"AMAZON MKTPL*N318L9NO0 Amzn.com/billWA","Amzn.com/bill WA ",-67.22
07/03/2025,24692165183101687744283,"Amazon.com*N39Z77NR1 Amzn.com/billWA","Amzn.com/bill WA ",-29.40
07/02/2025,24431065183237909059254,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-35.68
07/02/2025,24204295182001636738054,"Google GSUITE_chenweixu.c650-2530000 CA","650-2530000   CA ",-6.00
06/30/2025,24036295180742027998676,"DD *DOORDASH SUNRIGHTT 855-973-1040 CA","855-973-1040  CA ",-17.27
06/30/2025,24427335179740288560668,"99 RANCH #1009 IRVINE CA","IRVINE        CA ",-20.46
06/30/2025,24492165180100004297681,"OPENAI *CHATGPT SUBSCR OPENAI.COM CA","OPENAI.COM    CA ",-20.00
06/28/2025,24036295179742815025503,"DD *DOORDASH POKETIKI 855-973-1040 CA","855-973-1040  CA ",-26.45
06/28/2025,24011345179100047552087,"DD *DOORDASH SUNRIGHTT DOORDASH.COM CA","DOORDASH.COM  CA ",-21.21
06/27/2025,17806005720006036359482,"Online payment from CHK 8540","",1442.58
06/27/2025,24431065178234651162847,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-82.94
06/27/2025,24011345178100009989146,"FC* FLATICON PREMIUM M WWW.FREEPIK.CDE","WWW.FREEPIK.C DE ",-12.99
06/25/2025,24036295176716382599580,"DD *DOORDASH NOODOLOGY 855-973-1040 CA","855-973-1040  CA ",-21.30
06/25/2025,24431065176233333029327,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-26.00
06/25/2025,24036295175742275426443,"DD *DOORDASH PARISBAGU 855-973-1040 CA","855-973-1040  CA ",-37.28
06/25/2025,24793385175000211442061,"Adobe Inc 800-8336687 CA","800-8336687   CA ",-59.99
06/23/2025,24011345174100049570405,"CLAUDE.AI SUBSCRIPTION ANTHROPIC.COMCA","ANTHROPIC.COM CA ",-20.00
06/23/2025,24036295173718034201014,"DD *DOORDASH KINGCHOPS 855-973-1040 CA","855-973-1040  CA ",-44.35
06/23/2025,24055225173381816875332,"DOLCE GELATO THE DISTRIC TUSTIN CA","TUSTIN        CA ",-5.95
06/23/2025,24431065173602928354972,"AMC 9640 ONLINE 888-440-4262 KS","888-440-4262  KS ",-43.36
06/23/2025,24540455173031000684133,"PRESSED - TUSTIN 714-2587266 CA","714-2587266   CA ",-11.95
06/23/2025,24036295172742895201369,"DD *DOORDASH JOLLIBEE 855-973-1040 CA","855-973-1040  CA ",-38.98
06/20/2025,24431065171230055156747,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-48.07
06/20/2025,24231685170378421493829,"85C BAKERY CAFE USA IRVINE CA","IRVINE        CA ",-13.23
06/19/2025,24431065170229390107218,"H MART IRVINE INC IRVINE CA","IRVINE        CA ",-58.51
